Date,Session (Menti),MnDOT District,MnDOT District (Clean),Event,Source,Zip Code (Clean),Zip Code,Gender Identity,Gender Identity (Clean),Age,Age Range,Race/ Ethnicity,Race/Ethnicity (Clean),What are the top five improvements you feel are most important?:,What are the top five improvements you feel are most important?: 1,What are the top five improvements you feel are most important?: 1_Cleaned,What are the top five improvements you feel are most important?: 2,What are the top five improvements you feel are most important?: 2_Cleaned,What are the top five improvements you feel are most important?: 3,What are the top five improvements you feel are most important?: 3_Cleaned,What are the top five improvements you feel are most important?: 4,What are the top five improvements you feel are most important?: 4_Cleaned,What are the top five improvements you feel are most important?: 5,What are the top five improvements you feel are most important?: 5_Cleaned,Which approach best aligns with your vision for the state highway system?:,Which approach best aligns with your vision for the state highway system?:,Which approach best aligns with your vision for the state highway system?_Cleaned,What else would you like us to know?: (ENGLISH),What else would you like us to know?: (SPANISH/HMONG),Topic Category
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,Heart,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Add new safety improvements,Add new safety improvements,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,When you outreach at the public hearing make sure you let the public knows this is for roads that are interstate and trunk highways.  Not local roads.,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,The previous presentations priorities do not match the priorities surveyed in this presentation,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,Important to focus on all areas of the state and not be driven by traffic volumes or population,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,Heart,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Maintain rest areas for the safety and health of travelers and truck drivers,Maintain rest areas for the safety and health of travelers and truck drivers,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,Heart,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Maintain rest areas for the safety and health of travelers and truck drivers,Maintain rest areas for the safety and health of travelers and truck drivers,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Add new safety improvements,Add new safety improvements,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,,,#N/A,,,
