OID_,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,OBJECTID,Join_Count,TARGET_FID,AREA,PERIMETER,DIST0228_,DIST0228_I,DISTNUMBER,DIST_NAME,Shape_Length,Shape_Area_1
0,56060,56060,B5,G6350,S,84864232.000000000000000,215137.000000000000000,+43.9287353,-094.4410648,42576.203172000001359,85039500.281800001859665,1,1,0,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,42576.203171981767809,85039500.281837537884712
1,56062,56062,B5,G6350,S,325740508.000000000000000,4014953.000000000000000,+44.0462435,-094.4141234,116708.642407000006642,329596119.378000020980835,2,1,1,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,116708.642407172024832,329596119.377533674240112
2,56063,56063,B5,G6350,S,109190549.000000000000000,21300524.000000000000000,+44.2136455,-093.8184335,72016.355745299995760,130400516.870000004768372,3,1,2,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,72016.355745286258752,130400516.870401859283447
3,56065,56065,B5,G6350,S,301881666.000000000000000,4234092.000000000000000,+43.9422247,-093.9284300,111448.720960000006016,305912113.657999992370605,4,1,3,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,111448.720960010570707,305912113.657952308654785
4,56068,56068,B5,G6350,S,169938336.000000000000000,8530260.000000000000000,+43.8653058,-093.8061422,90264.215730800002348,178344326.627000004053116,5,1,4,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,90264.215730838885065,178344326.626949667930603
5,56069,56069,B5,G6350,S,184994719.000000000000000,10936045.000000000000000,+44.4120989,-093.5424356,102679.991773000001558,195783507.347000002861023,6,1,5,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,102679.991772715977277,195783507.347315996885300
6,56071,56071,B5,G6350,S,215222854.000000000000000,5902186.000000000000000,+44.5349785,-093.5794409,90129.577049400002579,220959925.242000013589859,7,1,6,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,90129.577049355866620,220959925.242354750633240
7,56072,56072,B5,G6350,S,315299833.000000000000000,1931864.000000000000000,+43.8992286,-093.5170813,99159.003060000002733,316991677.740999996662140,8,1,7,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,99159.003059979950194,316991677.741445481777191
8,56073,56073,B5,G6350,S,518127533.000000000000000,7523769.000000000000000,+44.3048297,-094.4647452,178445.317609999998240,525408604.518999993801117,9,1,8,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,178445.317610418424010,525408604.519485116004944
9,56074,56074,B5,G6350,S,201964754.000000000000000,17851013.000000000000000,+44.3268774,-094.1969355,104867.600550000002841,219689546.946999996900558,10,1,9,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,104867.600549609007430,219689546.946886062622070
